name,ra,dec,l,b,alphaKW,alphaKW0,AKHerschel,J_flux,J_flux_err,Jmag,H_flux,H_flux_err,Hmag,Ks_flux,Ks_flux_err,Ksmag,W1_flux,W1_flux_err,W1mag,W2_flux,W2_flux_err,W2mag,W3_flux,W3_flux_err,W3mag,W4_flux,W4_flux_err,W4mag,J_flag,H_flag,Ks_flag,W1_flag,W2_flag,W3_flag,W4_flag
star_52,83.23239583333333,-5.61727,208.94617567215187,-20.007406802798208,-0.35,-0.36,0.382,10.846467444414525,1.0846467444414525,12.918,12.33388675658932,1.233388675658932,12.298,10.644627178038093,1.0644627178038093,11.992,7.404858743588802,0.7404858743588802,11.553,5.387631453277654,0.5387631453277655,11.259,15.413558404862494,1.5413558404862495,8.282,39.224922734588546,3.9224922734588548,5.822,1,1,1,1,1,1,1
star_53,83.23419166666666,-4.9520341666666665,208.31665464537343,-19.704148884898174,0.0,0.0,0.176,6.189966762658981,0.6189966762658982,13.527,7.110496985507649,0.7110496985507649,12.896,5.95841097798827,0.595841097798827,12.622,3.4254432609244656,0.34254432609244656,12.39,2.6558153682843653,0.26558153682843655,12.027,1.1660117111153536,0.11660117111153537,11.085,3.3110222314976525,0.3311022231497653,8.506,1,1,1,1,1,1,1
star_54,83.23709999999998,-5.213243888888889,208.56528961687295,-19.820282399815024,-0.95,-0.97,0.112,14.87607355470403,1.487607355470403,12.575,23.051540642947895,2.3051540642947894,11.619,23.11694581967029,2.311694581967029,11.15,15.657296587644382,1.5657296587644383,10.74,13.176433656386784,1.3176433656386786,10.288,13.864458507945752,1.3864458507945754,8.397,24.978255105345053,2.4978255105345055,6.312,1,1,1,1,1,1,1
star_55,83.23784583333331,-4.5664927777777775,207.95417232424685,-19.525071371109235,-0.91,-0.91,0.084,1592.5325476352307,159.25325476352307,7.501,967.1636300878906,96.71636300878907,7.562,649.7263125355964,64.97263125355964,7.528,301.10417564792147,30.110417564792147,7.53,165.72875952424263,16.572875952424265,7.539,78.39762610868574,7.839762610868575,6.516,1229.0289044166823,122.90289044166823,2.082,1,1,1,1,1,1,1
star_56,83.24687499999999,-5.407232777777778,208.7538250748684,-19.89954878892232,-1.43,-1.48,0.302,21.013012412589134,2.1013012412589136,12.2,27.03335556459324,2.703335556459324,11.446,21.874113191851606,2.1874113191851605,11.21,11.800944782082475,1.1800944782082474,11.047,8.005673603931807,0.8005673603931808,10.829,2.763776453030068,0.27637764530300685,10.148,11.116347047084052,1.1116347047084052,7.191,1,1,1,1,1,1,1
star_57,83.24796249999999,-3.9702319444444445,207.39732858204448,-19.242739759600425,-0.42,-0.43,0.109,2.9873651965229477,0.2987365196522948,14.318,3.331961362228298,0.33319613622282984,13.719,2.888886338507326,0.2888886338507326,13.408,1.8429636874828337,0.18429636874828337,13.063,1.6106377716979678,0.1610637771697968,12.57,2.175218621015768,0.21752186210157679,10.408,11.73713491723979,1.1737134917239789,7.132,1,1,1,1,1,1,1
star_58,83.25731249999998,-4.821790277777778,208.20466317173145,-19.624322140890964,-0.43,-0.49,0.328,7.531618561222298,0.7531618561222299,13.314,11.44721808088826,1.1447218080888262,12.379,15.301374870653493,1.5301374870653495,11.598,16.746219456051783,1.6746219456051783,10.667,21.134787213785895,2.1134787213785895,9.775,33.65913201275765,3.3659132012757653,7.434,55.7650501093352,5.57650501093352,5.44,1,1,1,1,1,1,1
star_59,83.25932499999999,-5.440319722222222,208.7911682917162,-19.903477839280217,-0.63,-0.64,0.229,114.31107713564073,11.431107713564074,10.361,135.23837902299366,13.523837902299366,9.698,135.12336597043793,13.512336597043793,9.233,126.10049119148503,12.610049119148504,8.475,103.22808712355794,10.322808712355794,8.053,178.11599134079117,17.811599134079117,5.625,299.2003496975694,29.92003496975694,3.616,1,1,1,1,1,1,1
star_60,83.25954166666666,-5.708629444444445,209.0459129600866,-20.024558087273352,0.0,0.0,0.162,2.3511932002050564,0.23511932002050565,14.578,2.6151701870380237,0.2615170187038024,13.982,2.4793078480273425,0.24793078480273426,13.574,309540.0,30954.0,0.0,171790.0,17179.0,0.0,31674.0,3167.4,0.0,8363.0,836.3000000000001,0.0,1,1,1,1,1,1,1
star_61,83.26353333333331,-5.761143611111111,209.09770453477282,-20.044706663990066,0.0,0.0,0.162,4.262734825399844,0.42627348253998437,13.932,5.9525075735079644,0.5952507573507965,13.089,5.156208317852663,0.5156208317852663,12.779,3.295465567198629,0.32954655671986294,12.432,3.040870179493493,0.30408701794934934,11.88,1.4122218036227174,0.14122218036227174,10.877,2.9158293073100747,0.2915829307310075,8.644,1,1,1,1,1,1,1
